Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Darren Collison (21604654),Darren Collison,21604654,PG/G/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,LAL,4.5
PG,Frank Mason III (21604657),Frank Mason III,21604657,PG/G/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,LAL,0
PF,Mfiondu Kabengele (21604735),Mfiondu Kabengele,21604735,PF/F/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,HOU,0
PF,Kostas Antetokounmpo (21604810),Kostas Antetokounmpo,21604810,PF/F/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,LAL,0
PF,Trevor Ariza (21604834),Trevor Ariza,21604834,PF/F/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,LAL,11.10
SG,Dante Exum (21604858),Dante Exum,21604858,SG/G/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,HOU,0
SG,Trevelin Queen (21604861),Trevelin Queen,21604861,SG/G/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,HOU,8.2
SG,Mason Jones (21604915),Mason Jones,21604915,SG/G/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,LAL,4.5
SG,Kendrick Nunn (21604918),Kendrick Nunn,21604918,SG/G/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,LAL,0
SF,Sekou Doumbouya (21605020),Sekou Doumbouya,21605020,SF/F/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,LAL,15.5
PG/SG,Brandon Boston Jr. (21604162),Brandon Boston Jr.,21604162,PG/SG/G/UTIL,3000,WAS@LAC 03/09/2022 10:30PM ET,LAC,12.29
SG/SF,Rodney Hood (21604166),Rodney Hood,21604166,SG/SF/F/G/UTIL,3000,WAS@LAC 03/09/2022 10:30PM ET,LAC,7.21
C,Vernon Carey Jr. (21604276),Vernon Carey Jr.,21604276,C/UTIL,3000,WAS@LAC 03/09/2022 10:30PM ET,WAS,3.15
C,Jaime Echenique (21604278),Jaime Echenique,21604278,C/UTIL,3000,WAS@LAC 03/09/2022 10:30PM ET,WAS,0
PF/C,Isaiah Todd (21604376),Isaiah Todd,21604376,PF/C/F/UTIL,3000,WAS@LAC 03/09/2022 10:30PM ET,WAS,4.25
PG/SG,Devontae Shuler (21604500),Devontae Shuler,21604500,PG/SG/G/UTIL,3000,WAS@LAC 03/09/2022 10:30PM ET,WAS,0
